01-02-2019 13:41:38Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:38Data received: read 865,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:38 Comm success

01-02-2019 13:41:40Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:40Data received: read 865,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:40 Comm success

01-02-2019 13:41:42Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 424,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:42Data received: read 441,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:42 Comm success

01-02-2019 13:41:44Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:44Data received: read 865,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:44 Comm success

01-02-2019 13:41:45Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 9288, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 10312, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 1024,  total read 11336, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 248,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:45Data received: read 441,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:45 Comm success

01-02-2019 13:41:47Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 10736, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 1024,  total read 11760, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:47Data received: read 265,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:47 Comm success

01-02-2019 13:41:49Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:49Data received: read 865,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:49 Comm success

01-02-2019 13:41:51Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:51Data received: read 865,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

01-02-2019 13:41:51 Comm success

01-02-2019 13:41:52Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:41:52Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

